amino_acid,aromatic,polar,aliphatic,charged,negative,positive,hydrophobic,small,tiny
ALA,0,0,0,0,0,0,1,1,1
ARG,0,1,0,1,0,1,0,0,0
ASN,0,1,0,0,0,0,0,1,0
ASP,0,1,0,1,1,0,0,1,0
CYS,0,1,0,0,0,0,1,1,1
GLU,0,1,0,1,1,0,0,0,0
GLN,0,1,0,0,0,0,0,0,0
GLY,0,0,0,0,0,0,1,1,1
HIS,1,1,0,1,0,1,1,0,0
ILE,0,0,1,0,0,0,1,0,0
LEU,0,0,1,0,0,0,1,0,0
LYS,0,1,0,1,0,1,1,0,0
MET,0,0,0,0,0,0,1,0,0
PHE,1,0,0,0,0,0,1,0,0
PRO,0,0,0,0,0,0,0,1,0
SER,0,1,0,0,0,0,0,1,1
THR,0,1,0,0,0,0,1,1,0
TRP,1,1,0,0,0,0,1,0,0
TYR,1,1,1,0,0,0,1,0,0
VAL,0,0,0,0,0,0,1,1,0
